adjacent_land_output_valid_pixel_count,adjacent_land_transfer_absolute_sum_vs_reference,adjacent_land_transfer_comparison_pixel_count,adjacent_land_transfer_mean_vs_reference,adjacent_land_transfer_sum_vs_reference,allocated_radiance_over_water,allocated_radiance_over_water_share,allocated_radiance_total,allocation_proxy,array_shape,boundary_pixel_count,city_id,cutout_role,denominator_epsilon_reference,denominator_epsilon_relative,denominator_floor_pixel_count,denominator_instability_pixel_count,denominator_instability_threshold_relative,edge_padding,exact_conservation_assumed,fine_pixel_area_m2,formula,insufficient_proxy_threshold,interpretation,invalid_proxy_neighborhood_pixel_count,invalid_radiance_neighborhood_pixel_count,kernel_configuration,kernel_mass,kernel_parameter_name,kernel_parameter_value,kernel_resolution_m,kernel_semantics,kernel_shape,kernel_type,method_class,minimum_cell_proxy_support_fraction,minimum_valid_kernel_support_fraction,native_cell_count,negative_preclip_output_pixel_count,negative_radiance_input_pixel_count,negative_radiance_policy,operator_consistency_bias,operator_consistency_mae,operator_consistency_nmae_by_source_mean_absolute,operator_consistency_rmse,operator_consistency_sample_count,operator_consistency_source_mean_absolute,operator_name,output_nodata,overlap_record_count,positive_radiance_authority_insufficient_support_share,positive_radiance_authority_on_insufficient_proxy_support,positive_radiance_authority_total,positive_source_radiance_authority_over_water,positive_source_radiance_authority_over_water_share,positive_source_radiance_authority_total,proxy_mean_after_normalization,proxy_mean_before_normalization,proxy_normalization_divisor,proxy_normalization_support_pixel_count,radiance_quality,sigma_m,support_definition,support_fraction_tolerance,support_radius_m,truncate_sigma,valid_output_fraction,valid_output_pixel_count,water_output_valid_pixel_count,water_variant
0,,,,,0.0,0.0,3813495.173265457,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,41.80556502355008,68.03282033877055,0.1635253246732051,88.47661792607495,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.117964656947098,0.3774066705447017,0.33758371198489434,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,no_water_prior
0,,0,,,0.0,0.0,3805755.3930015564,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,42.36644871502774,68.02816531102076,0.16351413573644843,89.1035623638229,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.137758429345921,0.36273244434656443,0.31881324244351006,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,persistent_only_soft
0,,0,,,0.0,0.0,3813869.035583496,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,41.98446219414291,67.91351026051107,0.1632385480970318,88.47224117472814,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1422599696526392,0.3683924107129483,0.322511877762938,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,spectral_only_soft
0,,0,,,0.0,0.0,3806154.3004989624,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,42.54920503159369,67.89478610115692,0.16319354225687446,89.10693279089816,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1303079341878415,0.35864824907837595,0.31730136819407767,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,combined_soft
0,,0,,,0.0,0.0,3813868.997943878,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,41.98443342446409,67.91352821552779,0.1632385912541422,88.4722419593687,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1362623993852103,0.36408028149466204,0.3204192069229485,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,combined_hard_persistent_sensitivity_only
0,,0,,,0.0,0.0,3813720.6163864136,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,41.79291485519837,68.030511769149,0.16351977573969015,88.47147971606307,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.145603016360764,0.3646811288181543,0.3183311601297592,371988,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,soft_with_mapped_infrastructure_override
0,,,,,0.0,0.0,619888.8870201111,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,161,8635,gaussian_fwhm_750m,1.0,fwhm_m,750.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[257, 257]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1303079341878415,0.35864824907837595,0.31730136819407767,371988,strict,318.49567510800716,,1e-06,1280.0,4.0,0.1339,1339,0,combined_soft
0,,,,,0.0,,0.0,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,3428,10000,gaussian_fwhm_1000m,1.0,fwhm_m,1000.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[341, 341]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1303079341878415,0.35864824907837595,0.31730136819407767,371988,strict,424.66090014400953,,1e-06,1700.0,4.0,0.0,0,0,combined_soft
0,,,,,0.0,,0.0,s2_only_ablation,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,10000,10000,gaussian_fwhm_1500m,1.0,fwhm_m,1500.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[511, 511]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.1303079341878415,0.35864824907837595,0.31730136819407767,371988,strict,636.9913502160143,,1e-06,2550.0,4.0,0.0,0,0,combined_soft
0,,,,,0.0,0.0,3759352.6456985474,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,23.078057678222656,53.56365914916992,0.14183858026882146,81.66663000261099,10000,377.6381506896973,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3776381.5,0.0,0.0,3776381.5068969727,1.5632069658247958,0.33368576789349397,0.21346231282314257,372100,broad_sensitivity,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,combined_soft
